Year,County of Program Location,Primary Substance Group,Age Group,Population,Admissions,Percent
2007,Albany,Other Opioids,18 thru 24,299307,27,0.009020838136094379
2007,Albany,Other Opioids,25 thru 34,299307,58,0.01937809673679533
2007,Albany,Other Opioids,35 thru 44,299307,51,0.017039360923733825
2007,Albany,Other Opioids,45 thru 54,299307,44,0.01470062511067232
2007,Albany,Other Opioids,55 and Older,299307,16,0.005345681858426297
2007,Allegany,Alcohol,18 thru 24,49637,42,0.08461429981666901
2007,Allegany,Alcohol,25 thru 34,49637,45,0.09065817837500252
2007,Allegany,Alcohol,35 thru 44,49637,53,0.10677518786389185
2007,Allegany,Alcohol,45 thru 54,49637,42,0.08461429981666901
2007,Allegany,Alcohol,55 and Older,49637,18,0.03626327135000101
2007,Allegany,Alcohol,Under 18,49637,5,0.010073130930555835
2007,Allegany,All Others,18 thru 24,49637,2,0.004029252372222334
2007,Allegany,All Others,25 thru 34,49637,1,0.002014626186111167
2007,Allegany,All Others,55 and Older,49637,1,0.002014626186111167
2007,Allegany,All Others,Under 18,49637,1,0.002014626186111167
2007,Allegany,Cocaine incl Crack,18 thru 24,49637,8,0.016117009488889337
2007,Allegany,Cocaine incl Crack,25 thru 34,49637,9,0.018131635675000504
2007,Allegany,Cocaine incl Crack,35 thru 44,49637,6,0.012087757116667002
2007,Allegany,Cocaine incl Crack,45 thru 54,49637,5,0.010073130930555835
2007,Allegany,Heroin,18 thru 24,49637,4,0.008058504744444668
2007,Allegany,Heroin,25 thru 34,49637,3,0.006043878558333502
2007,Allegany,Heroin,35 thru 44,49637,2,0.004029252372222334
2007,Allegany,Heroin,45 thru 54,49637,1,0.002014626186111167
2007,Allegany,Marijuana incl Hashish,18 thru 24,49637,19,0.038277897536112174
2007,Allegany,Marijuana incl Hashish,25 thru 34,49637,19,0.038277897536112174
2007,Allegany,Marijuana incl Hashish,35 thru 44,49637,7,0.014102383302778168
2007,Allegany,Marijuana incl Hashish,45 thru 54,49637,4,0.008058504744444668
2007,Allegany,Marijuana incl Hashish,Under 18,49637,12,0.024175514233334004
2007,Allegany,Other Opioids,18 thru 24,49637,7,0.014102383302778168
2007,Allegany,Other Opioids,25 thru 34,49637,10,0.02014626186111167
2007,Allegany,Other Opioids,35 thru 44,49637,3,0.006043878558333501
2007,Allegany,Other Opioids,55 and Older,49637,1,0.002014626186111167
2007,Allegany,Other Opioids,Under 18,49637,3,0.006043878558333501
2007,Bronx,Alcohol,18 thru 24,1373659,345,0.025115403458937046
2007,Bronx,Alcohol,25 thru 34,1373659,1493,0.10868781844693626
2007,Bronx,Alcohol,35 thru 44,1373659,3257,0.23710396830654476
2007,Bronx,Alcohol,45 thru 54,1373659,2612,0.19014908357896687
2007,Bronx,Alcohol,55 and Older,1373659,931,0.06777519020368226
2007,Bronx,Alcohol,Under 18,1373659,49,0.003567115273878015
2007,Bronx,All Others,18 thru 24,1373659,21,0.0015287636888048634
2007,Bronx,All Others,25 thru 34,1373659,56,0.0040767031701463025
2007,Bronx,All Others,35 thru 44,1373659,48,0.003494317002982545
2007,Bronx,All Others,45 thru 54,1373659,28,0.0020383515850731513
2007,Bronx,All Others,55 and Older,1373659,11,0.0008007809798501666
2007,Bronx,All Others,Under 18,1373659,3,0.00021839481268640906
2007,Bronx,Cocaine incl Crack,18 thru 24,1373659,174,0.012666899135811727
2007,Bronx,Cocaine incl Crack,25 thru 34,1373659,706,0.0513955792522016
2007,Bronx,Cocaine incl Crack,35 thru 44,1373659,1699,0.123684262251403
2007,Bronx,Cocaine incl Crack,45 thru 54,1373659,1126,0.08197085302829887
2007,Bronx,Cocaine incl Crack,55 and Older,1373659,218,0.01587002305521239
2007,Bronx,Cocaine incl Crack,Under 18,1373659,2,0.00014559654179093938
2007,Bronx,Heroin,18 thru 24,1373659,235,0.017107593660435377
2007,Bronx,Heroin,25 thru 34,1373659,2111,0.1536771498603365
2007,Bronx,Heroin,35 thru 44,1373659,3724,0.2711007608147291
2007,Bronx,Heroin,45 thru 54,1373659,2517,0.18323324784389722
2007,Bronx,Heroin,55 and Older,1373659,605,0.04404295389175916
2007,Bronx,Heroin,Under 18,1373659,1,7.279827089546969e-05
2007,Bronx,Marijuana incl Hashish,18 thru 24,1373659,1380,0.10046161383574817
2007,Bronx,Marijuana incl Hashish,25 thru 34,1373659,1662,0.12099072622827063
2007,Bronx,Marijuana incl Hashish,35 thru 44,1373659,674,0.049066034583546574
2007,Bronx,Marijuana incl Hashish,45 thru 54,1373659,199,0.01448685590819847
2007,Bronx,Marijuana incl Hashish,55 and Older,1373659,37,0.0026935360231323787
2007,Bronx,Marijuana incl Hashish,Under 18,1373659,500,0.03639913544773485
2007,Bronx,Other Opioids,18 thru 24,1373659,7,0.0005095878962682878
2007,Bronx,Other Opioids,25 thru 34,1373659,18,0.0013103688761184544
2007,Bronx,Other Opioids,35 thru 44,1373659,20,0.001455965417909394
2007,Bronx,Other Opioids,45 thru 54,1373659,28,0.0020383515850731513
2007,Bronx,Other Opioids,55 and Older,1373659,12,0.0008735792507456363
2007,Broome,Alcohol,18 thru 24,195973,137,0.0699075893107724
2007,Broome,Alcohol,25 thru 34,195973,293,0.14951039173763733
2007,Broome,Alcohol,35 thru 44,195973,431,0.21992825542294092
2007,Broome,Alcohol,45 thru 54,195973,412,0.2102330423068484
2007,Broome,Alcohol,55 and Older,195973,92,0.04694524245686906
2007,Broome,Alcohol,Under 18,195973,7,0.003571920621718298
2007,Broome,All Others,18 thru 24,195973,8,0.004082194996249483
2007,Broome,All Others,25 thru 34,195973,25,0.012756859363279634
2007,Broome,All Others,35 thru 44,195973,19,0.009695213116092522
2007,Broome,All Others,45 thru 54,195973,12,0.006123292494374225
2007,Broome,All Others,55 and Older,195973,3,0.0015308231235935561
2007,Broome,All Others,Under 18,195973,2,0.0010205487490623708
2007,Broome,Cocaine incl Crack,18 thru 24,195973,83,0.0423527730860884
2007,Broome,Cocaine incl Crack,25 thru 34,195973,163,0.08317472304858321
2007,Broome,Cocaine incl Crack,35 thru 44,195973,229,0.11685283176764144
2007,Broome,Cocaine incl Crack,45 thru 54,195973,111,0.05664045557296159
2007,Broome,Cocaine incl Crack,55 and Older,195973,17,0.008674664367030151
2007,Broome,Cocaine incl Crack,Under 18,195973,1,0.0005102743745311854
2007,Broome,Heroin,18 thru 24,195973,96,0.048986339954993796
2007,Broome,Heroin,25 thru 34,195973,117,0.059702101820148686
2007,Broome,Heroin,35 thru 44,195973,61,0.03112673684640231
2007,Broome,Heroin,45 thru 54,195973,46,0.02347262122843453
2007,Broome,Heroin,55 and Older,195973,4,0.0020410974981247415
2007,Broome,Heroin,Under 18,195973,2,0.0010205487490623708
2007,Broome,Marijuana incl Hashish,18 thru 24,195973,160,0.08164389992498967
2007,Broome,Marijuana incl Hashish,25 thru 34,195973,109,0.05561990682389921
2007,Broome,Marijuana incl Hashish,35 thru 44,195973,62,0.03163701122093349
2007,Broome,Marijuana incl Hashish,45 thru 54,195973,21,0.010715761865154893
2007,Broome,Marijuana incl Hashish,55 and Older,195973,2,0.0010205487490623708
2007,Broome,Marijuana incl Hashish,Under 18,195973,59,0.03010618809733994
2007,Broome,Other Opioids,18 thru 24,195973,54,0.027554816224684014
2007,Broome,Other Opioids,25 thru 34,195973,100,0.051027437453118545
2007,Broome,Other Opioids,35 thru 44,195973,50,0.02551371872655927
2007,Broome,Other Opioids,45 thru 54,195973,33,0.016839054359529117
2007,Broome,Other Opioids,55 and Older,195973,12,0.0061232924943742245
2007,Cattaraugus,Alcohol,18 thru 24,80087,92,0.11487507335772348
2007,Cattaraugus,Alcohol,25 thru 34,80087,126,0.15732890481601258
2007,Cattaraugus,Alcohol,35 thru 44,80087,156,0.19478816786744416
2007,Cattaraugus,Alcohol,45 thru 54,80087,102,0.12736149437486732
2007,Cattaraugus,Alcohol,55 and Older,80087,28,0.0349619788480028
2007,Cattaraugus,Alcohol,Under 18,80087,24,0.029967410441145256
2007,Cattaraugus,All Others,18 thru 24,80087,1,0.0012486421017143855
2007,Cattaraugus,All Others,35 thru 44,80087,1,0.0012486421017143855
2007,Cattaraugus,All Others,45 thru 54,80087,4,0.004994568406857542
2007,Cattaraugus,All Others,Under 18,80087,7,0.0087404947120007
2007,Cattaraugus,Cocaine incl Crack,18 thru 24,80087,24,0.02996741044114526
2007,Cattaraugus,Cocaine incl Crack,25 thru 34,80087,44,0.054940252475432966
2007,Cattaraugus,Cocaine incl Crack,35 thru 44,80087,66,0.08241037871314943
2007,Cattaraugus,Cocaine incl Crack,45 thru 54,80087,44,0.054940252475432966
2007,Cattaraugus,Cocaine incl Crack,55 and Older,80087,2,0.002497284203428771
2007,Cattaraugus,Cocaine incl Crack,Under 18,80087,3,0.003745926305143157
2007,Cattaraugus,Heroin,18 thru 24,80087,7,0.0087404947120007
2007,Cattaraugus,Heroin,25 thru 34,80087,18,0.022475557830858937
2007,Cattaraugus,Heroin,35 thru 44,80087,9,0.01123777891542947
2007,Cattaraugus,Heroin,45 thru 54,80087,3,0.003745926305143157
2007,Cattaraugus,Marijuana incl Hashish,18 thru 24,80087,46,0.057437536678861735
2007,Cattaraugus,Marijuana incl Hashish,25 thru 34,80087,25,0.031216052542859637
2007,Cattaraugus,Marijuana incl Hashish,35 thru 44,80087,18,0.02247555783085894
2007,Cattaraugus,Marijuana incl Hashish,45 thru 54,80087,8,0.009989136813715084
2007,Cattaraugus,Marijuana incl Hashish,Under 18,80087,67,0.08365902081486383
2007,Cattaraugus,Other Opioids,18 thru 24,80087,18,0.022475557830858937
2007,Cattaraugus,Other Opioids,25 thru 34,80087,33,0.041205189356574724
2007,Cattaraugus,Other Opioids,35 thru 44,80087,8,0.009989136813715084
2007,Cattaraugus,Other Opioids,45 thru 54,80087,1,0.0012486421017143855
2007,Cattaraugus,Other Opioids,55 and Older,80087,1,0.0012486421017143855
2007,Cattaraugus,Other Opioids,Under 18,80087,4,0.004994568406857542
2007,Cayuga,Alcohol,18 thru 24,80066,86,0.10741138560687433
2007,Cayuga,Alcohol,25 thru 34,80066,87,0.10866035520695427
2007,Cayuga,Alcohol,35 thru 44,80066,81,0.10116653760647465
2007,Cayuga,Alcohol,45 thru 54,80066,58,0.07244023680463618
2007,Cayuga,Alcohol,55 and Older,80066,14,0.017485574401119076
2007,Cayuga,Alcohol,Under 18,80066,17,0.021232483201358877
2007,Cayuga,All Others,25 thru 34,80066,2,0.002497939200159868
2007,Cayuga,All Others,35 thru 44,80066,3,0.003746908800239802
2007,Cayuga,Cocaine incl Crack,18 thru 24,80066,6,0.007493817600479604
2007,Cayuga,Cocaine incl Crack,25 thru 34,80066,15,0.018734544001199012
2007,Cayuga,Cocaine incl Crack,35 thru 44,80066,6,0.007493817600479603
2007,Cayuga,Cocaine incl Crack,45 thru 54,80066,5,0.00624484800039967
2007,Cayuga,Cocaine incl Crack,Under 18,80066,2,0.002497939200159868
2007,Cayuga,Heroin,18 thru 24,80066,17,0.021232483201358877
2007,Cayuga,Heroin,25 thru 34,80066,3,0.003746908800239802
2007,Cayuga,Heroin,35 thru 44,80066,4,0.004995878400319736
2007,Cayuga,Heroin,45 thru 54,80066,4,0.004995878400319736
2007,Cayuga,Marijuana incl Hashish,18 thru 24,80066,39,0.048709814403117425
2007,Cayuga,Marijuana incl Hashish,25 thru 34,80066,12,0.014987635200959208
2007,Cayuga,Marijuana incl Hashish,35 thru 44,80066,5,0.00624484800039967
2007,Cayuga,Marijuana incl Hashish,45 thru 54,80066,1,0.001248969600079934
2007,Cayuga,Marijuana incl Hashish,Under 18,80066,64,0.07993405440511578
2007,Cayuga,Other Opioids,18 thru 24,80066,1,0.001248969600079934
2007,Cayuga,Other Opioids,25 thru 34,80066,2,0.002497939200159868
2007,Cayuga,Other Opioids,35 thru 44,80066,5,0.006244848000399671
2007,Cayuga,Other Opioids,45 thru 54,80066,1,0.001248969600079934
2007,Chautauqua,Alcohol,18 thru 24,133945,176,0.1313972152749263
2007,Chautauqua,Alcohol,25 thru 34,133945,225,0.16797939452760458
2007,Chautauqua,Alcohol,35 thru 44,133945,261,0.19485609765202136
2007,Chautauqua,Alcohol,45 thru 54,133945,201,0.1500615924446601
2007,Chautauqua,Alcohol,55 and Older,133945,75,0.05599313150920154
2007,Chautauqua,Alcohol,Under 18,133945,48,0.03583560416588898
2007,Chautauqua,All Others,18 thru 24,133945,4,0.0029863003471574156
2007,Chautauqua,All Others,25 thru 34,133945,4,0.0029863003471574156
2007,Chautauqua,All Others,35 thru 44,133945,2,0.0014931501735787078
2007,Chautauqua,All Others,45 thru 54,133945,2,0.0014931501735787078
2007,Chautauqua,All Others,Under 18,133945,3,0.0022397252603680614
2007,Chautauqua,Cocaine incl Crack,18 thru 24,133945,39,0.0291164283847848
2007,Chautauqua,Cocaine incl Crack,25 thru 34,133945,72,0.053753406248833485
2007,Chautauqua,Cocaine incl Crack,35 thru 44,133945,72,0.05375340624883348
2007,Chautauqua,Cocaine incl Crack,45 thru 54,133945,21,0.01567807682257643
2007,Chautauqua,Cocaine incl Crack,55 and Older,133945,5,0.0037328754339467692
2007,Chautauqua,Cocaine incl Crack,Under 18,133945,2,0.0014931501735787078
2007,Chautauqua,Heroin,18 thru 24,133945,22,0.016424651909365783
2007,Chautauqua,Heroin,25 thru 34,133945,25,0.018664377169733848
2007,Chautauqua,Heroin,35 thru 44,133945,13,0.0097054761282616
2007,Chautauqua,Heroin,45 thru 54,133945,8,0.005972600694314831
2007,Chautauqua,Heroin,55 and Older,133945,1,0.0007465750867893539
2007,Chautauqua,Heroin,Under 18,133945,1,0.0007465750867893539
2007,Chautauqua,Marijuana incl Hashish,18 thru 24,133945,122,0.09108216058830117
2007,Chautauqua,Marijuana incl Hashish,25 thru 34,133945,68,0.05076710590167606
2007,Chautauqua,Marijuana incl Hashish,35 thru 44,133945,36,0.02687670312441674
2007,Chautauqua,Marijuana incl Hashish,45 thru 54,133945,8,0.00597260069431483
2007,Chautauqua,Marijuana incl Hashish,Under 18,133945,64,0.04778080555451865
2007,Chautauqua,Other Opioids,18 thru 24,133945,33,0.024636977864048677
2007,Chautauqua,Other Opioids,25 thru 34,133945,41,0.030609578558363507
2007,Chautauqua,Other Opioids,35 thru 44,133945,19,0.014184926648997724
2007,Chautauqua,Other Opioids,45 thru 54,133945,11,0.008212325954682893
2007,Chautauqua,Other Opioids,55 and Older,133945,1,0.0007465750867893539
2007,Chemung,Alcohol,18 thru 24,88015,79,0.08975742771118561
2007,Chemung,Alcohol,25 thru 34,88015,128,0.1454297562915412
2007,Chemung,Alcohol,35 thru 44,88015,134,0.1522467761177072
2007,Chemung,Alcohol,45 thru 54,88015,136,0.15451911605976254
2007,Chemung,Alcohol,55 and Older,88015,35,0.0397659489859683
2007,Chemung,Alcohol,Under 18,88015,11,0.012497869681304324
2007,Chemung,All Others,18 thru 24,88015,6,0.006817019826165995
2007,Chemung,All Others,25 thru 34,88015,3,0.0034085099130829978
2007,Chemung,All Others,35 thru 44,88015,2,0.0022723399420553317
2007,Chemung,All Others,45 thru 54,88015,1,0.0011361699710276659
2007,Chemung,Cocaine incl Crack,18 thru 24,88015,17,0.019314889507470318
2007,Chemung,Cocaine incl Crack,25 thru 34,88015,36,0.04090211895699597
2007,Chemung,Cocaine incl Crack,35 thru 44,88015,55,0.06248934840652162
2007,Chemung,Cocaine incl Crack,45 thru 54,88015,25,0.028404249275691643
2007,Chemung,Cocaine incl Crack,55 and Older,88015,6,0.0068170198261659955
2007,Chemung,Heroin,18 thru 24,88015,3,0.0034085099130829978
2007,Chemung,Marijuana incl Hashish,18 thru 24,88015,62,0.07044253820371528
2007,Chemung,Marijuana incl Hashish,25 thru 34,88015,65,0.07385104811679827
2007,Chemung,Marijuana incl Hashish,35 thru 44,88015,13,0.014770209623359655
2007,Chemung,Marijuana incl Hashish,45 thru 54,88015,10,0.011361699710276658
2007,Chemung,Marijuana incl Hashish,Under 18,88015,68,0.07725955802988127
2007,Chemung,Other Opioids,18 thru 24,88015,10,0.011361699710276656
2007,Chemung,Other Opioids,25 thru 34,88015,14,0.015906379594387322
2007,Chemung,Other Opioids,35 thru 44,88015,3,0.0034085099130829978
2007,Chemung,Other Opioids,45 thru 54,88015,2,0.0022723399420553317
2007,Chemung,Other Opioids,55 and Older,88015,1,0.0011361699710276659
2007,Chenango,Alcohol,18 thru 24,51207,38,0.0742086042923819
2007,Chenango,Alcohol,25 thru 34,51207,53,0.10350147440779581
2007,Chenango,Alcohol,35 thru 44,51207,66,0.1288886285078212
2007,Chenango,Alcohol,45 thru 54,51207,39,0.07616146230007616
2007,Chenango,Alcohol,55 and Older,51207,9,0.017575722069248345
2007,Chenango,Alcohol,Under 18,51207,1,0.0019528580076942606
2007,Chenango,All Others,25 thru 34,51207,1,0.0019528580076942606
2007,Chenango,All Others,35 thru 44,51207,1,0.0019528580076942606
2007,Chenango,All Others,Under 18,51207,2,0.0039057160153885212
2007,Chenango,Cocaine incl Crack,18 thru 24,51207,2,0.0039057160153885212
2007,Chenango,Cocaine incl Crack,25 thru 34,51207,1,0.0019528580076942606
2007,Chenango,Cocaine incl Crack,35 thru 44,51207,6,0.011717148046165563
2007,Chenango,Cocaine incl Crack,45 thru 54,51207,1,0.0019528580076942606
2007,Chenango,Cocaine incl Crack,Under 18,51207,1,0.0019528580076942606
2007,Chenango,Heroin,25 thru 34,51207,1,0.0019528580076942606
2007,Chenango,Heroin,35 thru 44,51207,1,0.0019528580076942606
2007,Chenango,Marijuana incl Hashish,18 thru 24,51207,30,0.05858574023082781
2007,Chenango,Marijuana incl Hashish,25 thru 34,51207,21,0.041010018161579474
2007,Chenango,Marijuana incl Hashish,35 thru 44,51207,10,0.019528580076942605
2007,Chenango,Marijuana incl Hashish,45 thru 54,51207,3,0.005858574023082781
2007,Chenango,Marijuana incl Hashish,Under 18,51207,14,0.02734001210771965
2007,Chenango,Other Opioids,18 thru 24,51207,6,0.011717148046165563
2007,Chenango,Other Opioids,25 thru 34,51207,11,0.021481438084636865
2007,Chenango,Other Opioids,35 thru 44,51207,8,0.015622864061554085
2007,Chenango,Other Opioids,45 thru 54,51207,3,0.005858574023082781
2007,Chenango,Other Opioids,55 and Older,51207,2,0.0039057160153885212
2007,Chenango,Other Opioids,Under 18,51207,1,0.0019528580076942606
2007,Clinton,Alcohol,18 thru 24,82215,91,0.11068539804171987
2007,Clinton,Alcohol,25 thru 34,82215,111,0.13501185914979016
2007,Clinton,Alcohol,35 thru 44,82215,123,0.14960773581463238
2007,Clinton,Alcohol,45 thru 54,82215,71,0.08635893693364959
2007,Clinton,Alcohol,55 and Older,82215,13,0.0158121997202457
2007,Clinton,Alcohol,Under 18,82215,8,0.009730584443228121
2007,Clinton,All Others,18 thru 24,82215,1,0.0012163230554035152
2007,Clinton,All Others,25 thru 34,82215,3,0.0036489691662105455
2007,Clinton,All Others,35 thru 44,82215,6,0.007297938332421091
2007,Clinton,All Others,Under 18,82215,2,0.0024326461108070303
2007,Clinton,Cocaine incl Crack,18 thru 24,82215,11,0.013379553609438667
2007,Clinton,Cocaine incl Crack,25 thru 34,82215,10,0.012163230554035152
2007,Clinton,Cocaine incl Crack,35 thru 44,82215,17,0.02067749194185976
2007,Clinton,Cocaine incl Crack,45 thru 54,82215,4,0.004865292221614061
2007,Clinton,Heroin,18 thru 24,82215,13,0.015812199720245695
2007,Clinton,Heroin,25 thru 34,82215,8,0.009730584443228121
2007,Clinton,Heroin,35 thru 44,82215,6,0.007297938332421091
2007,Clinton,Heroin,45 thru 54,82215,2,0.0024326461108070303
2007,Clinton,Marijuana incl Hashish,18 thru 24,82215,85,0.10338745970929879
2007,Clinton,Marijuana incl Hashish,25 thru 34,82215,37,0.045003953049930066
2007,Clinton,Marijuana incl Hashish,35 thru 44,82215,18,0.021893814997263276
2007,Clinton,Marijuana incl Hashish,45 thru 54,82215,7,0.008514261387824606
2007,Clinton,Marijuana incl Hashish,Under 18,82215,88,0.10703642887550932
2007,Clinton,Other Opioids,18 thru 24,82215,15,0.01824484583105273
2007,Clinton,Other Opioids,25 thru 34,82215,32,0.038922337772912485
2007,Clinton,Other Opioids,35 thru 44,82215,17,0.02067749194185976
2007,Clinton,Other Opioids,45 thru 54,82215,9,0.010946907498631636
2007,Clinton,Other Opioids,55 and Older,82215,1,0.0012163230554035152
2007,Columbia,Alcohol,18 thru 24,62363,52,0.08338277504289403
2007,Columbia,Alcohol,25 thru 34,62363,31,0.049708962044802206
2007,Columbia,Alcohol,35 thru 44,62363,58,0.09300386447092027
2007,Columbia,Alcohol,45 thru 54,62363,46,0.07376168561486779
2007,Columbia,Alcohol,55 and Older,62363,17,0.027259753379407663
2007,Columbia,Alcohol,Under 18,62363,23,0.036880842807433895
2007,Columbia,All Others,25 thru 34,62363,2,0.003207029809342078
2007,Columbia,All Others,35 thru 44,62363,2,0.003207029809342078
2007,Columbia,All Others,55 and Older,62363,1,0.001603514904671039
2007,Columbia,All Others,Under 18,62363,1,0.001603514904671039
2007,Columbia,Cocaine incl Crack,18 thru 24,62363,8,0.012828119237368311
2007,Columbia,Cocaine incl Crack,25 thru 34,62363,13,0.020845693760723503
2007,Columbia,Cocaine incl Crack,35 thru 44,62363,14,0.022449208665394543
2007,Columbia,Cocaine incl Crack,45 thru 54,62363,10,0.01603514904671039
2007,Columbia,Cocaine incl Crack,55 and Older,62363,2,0.003207029809342078
2007,Columbia,Cocaine incl Crack,Under 18,62363,1,0.001603514904671039
2007,Columbia,Heroin,18 thru 24,62363,6,0.009621089428026235
2007,Columbia,Heroin,25 thru 34,62363,6,0.009621089428026234
2007,Columbia,Heroin,35 thru 44,62363,5,0.008017574523355196
2007,Columbia,Heroin,45 thru 54,62363,5,0.008017574523355196
2007,Columbia,Heroin,55 and Older,62363,3,0.004810544714013117
2007,Columbia,Marijuana incl Hashish,18 thru 24,62363,33,0.05291599185414429
2007,Columbia,Marijuana incl Hashish,25 thru 34,62363,20,0.03207029809342078
2007,Columbia,Marijuana incl Hashish,35 thru 44,62363,16,0.025656238474736623
2007,Columbia,Marijuana incl Hashish,45 thru 54,62363,7,0.011224604332697273
2007,Columbia,Marijuana incl Hashish,55 and Older,62363,1,0.001603514904671039
2007,Columbia,Marijuana incl Hashish,Under 18,62363,157,0.2517518400333531
2007,Columbia,Other Opioids,18 thru 24,62363,7,0.011224604332697272
2007,Columbia,Other Opioids,25 thru 34,62363,1,0.001603514904671039
2007,Columbia,Other Opioids,35 thru 44,62363,3,0.004810544714013117
2007,Columbia,Other Opioids,45 thru 54,62363,1,0.001603514904671039
2007,Cortland,Alcohol,18 thru 24,48369,43,0.08889991523496454
2007,Cortland,Alcohol,25 thru 34,48369,50,0.1033719944592611
2007,Cortland,Alcohol,35 thru 44,48369,66,0.13645103268622466
2007,Cortland,Alcohol,45 thru 54,48369,50,0.1033719944592611
2007,Cortland,Alcohol,55 and Older,48369,9,0.018606959002666998
2007,Cortland,Alcohol,Under 18,48369,10,0.02067439889185222
2007,Cortland,All Others,25 thru 34,48369,4,0.008269759556740888
2007,Cortland,All Others,35 thru 44,48369,2,0.004134879778370444
2007,Cortland,All Others,45 thru 54,48369,2,0.004134879778370444
2007,Cortland,All Others,55 and Older,48369,1,0.002067439889185222
2007,Cortland,Cocaine incl Crack,18 thru 24,48369,5,0.01033719944592611
2007,Cortland,Cocaine incl Crack,25 thru 34,48369,15,0.031011598337778327
2007,Cortland,Cocaine incl Crack,35 thru 44,48369,8,0.016539519113481775
2007,Cortland,Cocaine incl Crack,45 thru 54,48369,6,0.012404639335111331
2007,Cortland,Cocaine incl Crack,Under 18,48369,1,0.002067439889185222
2007,Cortland,Heroin,18 thru 24,48369,2,0.004134879778370444
2007,Cortland,Heroin,25 thru 34,48369,2,0.004134879778370444
2007,Cortland,Marijuana incl Hashish,18 thru 24,48369,27,0.055820877008000994
2007,Cortland,Marijuana incl Hashish,25 thru 34,48369,32,0.0661580764539271
2007,Cortland,Marijuana incl Hashish,35 thru 44,48369,5,0.01033719944592611
2007,Cortland,Marijuana incl Hashish,55 and Older,48369,1,0.002067439889185222
2007,Cortland,Marijuana incl Hashish,Under 18,48369,9,0.018606959002666998
2007,Cortland,Other Opioids,18 thru 24,48369,5,0.01033719944592611
2007,Cortland,Other Opioids,25 thru 34,48369,2,0.004134879778370444
2007,Cortland,Other Opioids,35 thru 44,48369,2,0.004134879778370444
2007,Cortland,Other Opioids,45 thru 54,48369,2,0.004134879778370444
2007,Delaware,Alcohol,18 thru 24,46286,55,0.11882642699736422
2007,Delaware,Alcohol,25 thru 34,46286,72,0.15555459534200405
2007,Delaware,Alcohol,35 thru 44,46286,89,0.19228276368664393
2007,Delaware,Alcohol,45 thru 54,46286,63,0.13611027092425354
2007,Delaware,Alcohol,55 and Older,46286,25,0.054012012271529186
2007,Delaware,Alcohol,Under 18,46286,20,0.04320960981722335
2007,Delaware,All Others,18 thru 24,46286,4,0.00864192196344467
2007,Delaware,All Others,25 thru 34,46286,1,0.0021604804908611675
2007,Delaware,All Others,35 thru 44,46286,2,0.004320960981722335
2007,Delaware,All Others,45 thru 54,46286,3,0.006481441472583503
2007,Delaware,Cocaine incl Crack,18 thru 24,46286,21,0.04537009030808452
2007,Delaware,Cocaine incl Crack,25 thru 34,46286,32,0.06913537570755736
2007,Delaware,Cocaine incl Crack,35 thru 44,46286,62,0.1339497904333924
2007,Delaware,Cocaine incl Crack,45 thru 54,46286,29,0.06265393423497385
2007,Delaware,Cocaine incl Crack,55 and Older,46286,3,0.006481441472583503
2007,Delaware,Cocaine incl Crack,Under 18,46286,5,0.010802402454305837
